Date,Time,Group,Pixel,Area,Plant,Area per plant,No.
2023-04-25,16:41:10,3-lower,326273,553.68,10,55.37,4
2023-04-25,16:41:19,3-mid,781341,1309.36,12,109.11,5
2023-04-25,16:41:29,3-upper,718772,1388.98,10,138.90,7
2023-04-25,16:41:38,1-mid,878212,1568.76,9,174.31,8
2023-04-25,16:41:47,1-lower,701172,1190.26,11,108.21,9
2023-04-25,17:15:54,2-lower,687394,1152.10,12,96.01,0
2023-04-25,17:16:03,2-mid,827692,1369.91,11,124.54,1
2023-04-25,17:16:12,1-upper,744899,1330.18,10,133.02,2
2023-04-25,17:16:21,2-upper,659915,1178.42,11,107.13,3
2023-04-25,17:16:30,3-lower,332436,564.14,10,56.41,4
2023-04-25,17:16:39,3-mid,775285,1299.21,12,108.27,5
2023-04-25,17:16:48,3-upper,726326,1403.58,10,140.36,7
2023-04-25,17:16:57,1-mid,880759,1573.31,9,174.81,8
2023-04-25,17:17:08,1-lower,709885,1205.05,11,109.55,9
2023-04-25,17:51:17,2-lower,692152,1160.08,12,96.67,0
2023-04-25,17:51:26,2-mid,836048,1383.74,11,125.79,1
2023-04-25,17:51:35,1-upper,748231,1336.13,10,133.61,2
2023-04-25,17:51:44,2-upper,663426,1184.69,11,107.70,3
2023-04-25,17:51:53,3-lower,337822,573.28,10,57.33,4
2023-04-25,17:52:02,3-mid,772142,1293.94,12,107.83,5
2023-04-25,17:52:12,3-upper,731697,1413.96,10,141.40,7
2023-04-25,17:52:21,1-mid,888608,1587.33,9,176.37,8
2023-04-25,17:52:30,1-lower,711518,1207.82,11,109.80,9
2023-04-25,18:26:35,2-lower,697923,1169.75,12,97.48,0
2023-04-25,18:26:44,2-mid,842868,1395.02,11,126.82,1
2023-04-25,18:26:53,1-upper,752741,1344.18,10,134.42,2
2023-04-25,18:27:02,2-upper,669112,1194.84,11,108.62,3
2023-04-25,18:27:11,3-lower,344101,583.94,10,58.39,4
2023-04-25,18:27:20,3-mid,781234,1309.18,12,109.10,5
2023-04-25,18:27:29,3-upper,737092,1424.38,10,142.44,7
2023-04-25,18:27:38,1-mid,896695,1601.77,9,177.97,8
2023-04-25,18:27:47,1-lower,715748,1215.00,11,110.45,9
2023-04-25,19:02:10,2-lower,702636,1177.65,12,98.14,0
2023-04-25,19:02:20,2-mid,844373,1397.52,11,127.05,1
2023-04-25,19:02:30,1-upper,755194,1348.56,10,134.86,2
2023-04-25,19:02:39,2-upper,671820,1199.68,11,109.06,3
2023-04-25,19:02:49,3-lower,343636,583.15,10,58.31,4
2023-04-25,19:02:58,3-mid,791273,1326.00,12,110.50,5
2023-04-25,19:03:08,3-upper,741748,1433.38,10,143.34,7
2023-04-25,19:03:18,1-mid,900960,1609.39,9,178.82,8
2023-04-25,19:03:28,1-lower,718396,1219.50,11,110.86,9
2023-04-25,19:37:35,2-lower,708037,1186.70,12,98.89,0
2023-04-25,19:37:45,2-mid,850564,1407.76,11,127.98,1
2023-04-25,19:37:55,1-upper,758855,1355.10,10,135.51,2
2023-04-25,19:38:04,2-upper,676992,1208.91,11,109.90,3
2023-04-25,19:38:13,3-lower,345919,587.02,10,58.70,4
2023-04-25,19:38:22,3-mid,799621,1339.99,12,111.67,5
2023-04-25,19:38:31,3-upper,746617,1442.79,10,144.28,7
