Date,Time,Group,Pixel,Area,Plant,Area per plant,No.,
2023/5/20,22:15:51,2-mid,690106,1142.19,9,126.91,1,2765
2023/5/20,22:16:02,1-upper,710614,1268.95,9,140.99,2,2766
2023/5/20,22:16:14,2-upper,647641,1156.5,9,128.5,3,2767
2023/5/20,22:16:28,3-lower,762652,1294.22,10,129.42,4,2768
2023/5/20,22:16:41,3-mid,839661,1407.09,12,117.26,5,2769
2023/5/20,22:16:52,3-upper,692045,1337.33,9,148.59,7,2770
2023/5/20,22:17:03,1-mid,780657,1394.49,9,154.94,8,2771
2023/5/20,22:47:31,2-lower,792541,1328.33,12,110.69,0,2773
2023/5/20,22:47:42,2-mid,694502,1149.47,9,127.72,1,2774
2023/5/20,22:47:53,1-upper,710984,1269.61,9,141.07,2,2775
2023/5/20,22:48:04,2-upper,647019,1155.39,9,128.38,3,2776
2023/5/20,22:48:15,3-lower,764510,1297.37,10,129.74,4,2777
2023/5/20,22:48:26,3-mid,841776,1410.63,12,117.55,5,2778
2023/5/20,22:48:37,3-upper,689237,1331.9,9,147.99,7,2779
2023/5/20,22:48:50,1-mid,783401,1399.4,9,155.49,8,2780
2023/5/20,23:19:13,2-lower,794731,1332,12,111,0,2782
2023/5/20,23:19:24,2-mid,696138,1152.17,9,128.02,1,2783
2023/5/20,23:19:35,1-upper,712300,1271.96,9,141.33,2,2784
2023/5/20,23:19:46,2-upper,645278,1152.28,9,128.03,3,2785
2023/5/20,23:19:56,3-lower,765971,1299.85,10,129.98,4,2786
2023/5/20,23:20:07,3-mid,842036,1411.07,12,117.59,5,2787
2023/5/20,23:20:18,3-upper,687103,1327.78,9,147.53,7,2788
2023/5/20,23:20:29,1-mid,784773,1401.85,9,155.76,8,2789
2023/5/20,23:50:51,2-lower,798920,1339.02,12,111.59,0,2791
2023/5/20,23:51:02,2-mid,699565,1157.84,9,128.65,1,2792
2023/5/20,23:51:12,1-upper,712905,1273.04,9,141.45,2,2793
2023/5/21,0:21:34,2-lower,801651,1343.6,12,111.97,0,2794
2023/5/21,0:21:45,2-mid,699963,1158.5,9,128.72,1,2795
2023/5/21,0:52:07,2-lower,805424,1349.93,12,112.49,0,2796
2023/5/21,0:52:18,2-mid,696699,1153.1,9,128.12,1,2797
2023/5/21,0:52:29,1-upper,718023,1282.18,9,142.46,2,2798
2023/5/21,0:52:39,2-upper,648920,1158.79,9,128.75,3,2799
2023/5/21,0:52:50,3-lower,770812,1308.06,10,130.81,4,2800
2023/5/21,1:23:11,2-lower,810093,1357.75,12,113.15,0,2801
2023/5/21,1:23:22,2-mid,706655,1169.58,9,129.95,1,2802
2023/5/21,1:53:43,2-lower,782347,1311.25,12,109.27,0,2803
2023/5/21,1:53:54,2-mid,710012,1175.14,9,130.57,1,2804
2023/5/21,1:54:05,1-upper,723325,1291.65,9,143.52,2,2805
2023/5/21,1:54:16,2-upper,652501,1165.18,9,129.46,3,2806
2023/5/21,1:54:27,3-lower,776999,1318.56,10,131.86,4,2807
2023/5/21,2:24:51,2-lower,785244,1316.1,12,109.68,0,2808
2023/5/21,2:25:04,2-mid,714869,1183.17,9,131.46,1,2809
2023/5/21,2:25:18,1-upper,723650,1292.23,9,143.58,2,2810
2023/5/21,2:25:32,2-upper,654798,1169.28,9,129.92,3,2811
2023/5/21,2:25:44,3-lower,781738,1326.6,10,132.66,4,2812
2023/5/21,2:25:55,3-mid,851147,1426.34,12,118.86,5,2813
2023/5/21,2:26:07,3-upper,694787,1342.63,9,149.18,7,2814
2023/5/21,2:26:18,1-mid,797020,1423.72,9,158.19,8,2815
2023/5/21,2:56:40,2-lower,786322,1317.91,12,109.83,0,2817
2023/5/21,2:56:51,2-mid,716097,1185.21,9,131.69,1,2818
2023/5/21,2:57:03,1-upper,722946,1290.97,9,143.44,2,2819
2023/5/21,2:57:14,2-upper,654003,1167.86,9,129.76,3,2820
2023/5/21,2:57:25,3-lower,783239,1329.15,10,132.92,4,2821
2023/5/21,2:57:40,3-mid,850545,1425.33,12,118.78,5,2822
2023/5/21,2:57:51,3-upper,690047,1333.47,9,148.16,7,2823
2023/5/21,2:58:02,1-mid,773129,1381.05,9,153.45,8,2824
2023/5/21,3:28:25,2-lower,790138,1324.31,12,110.36,0,2826
2023/5/21,3:28:36,2-mid,716776,1186.33,9,131.81,1,2827
2023/5/21,3:28:48,1-upper,722196,1289.64,9,143.29,2,2828
2023/5/21,3:28:59,2-upper,651428,1163.26,9,129.25,3,2829
2023/5/21,3:29:10,3-lower,783915,1330.3,10,133.03,4,2830
2023/5/21,3:29:22,3-mid,850411,1425.1,12,118.76,5,2831
2023/5/21,3:29:33,3-upper,687983,1329.48,9,147.72,7,2832
2023/5/21,3:29:44,1-mid,772929,1380.69,9,153.41,8,2833
2023/5/21,4:00:08,2-lower,790562,1325.02,12,110.42,0,2835
2023/5/21,4:00:19,2-mid,715888,1184.86,9,131.65,1,2836
2023/5/21,4:00:33,1-upper,723206,1291.44,9,143.49,2,2837
2023/5/21,4:00:45,2-upper,648314,1157.7,9,128.63,3,2838
2023/5/21,4:00:58,3-lower,781656,1326.47,10,132.65,4,2839
2023/5/21,4:01:14,3-mid,847652,1420.48,12,118.37,5,2840
2023/5/21,4:01:26,3-upper,685717,1325.1,9,147.23,7,2841
2023/5/21,4:01:38,1-mid,770942,1377.14,9,153.02,8,2842
2023/5/21,4:32:08,2-lower,796572,1335.09,12,111.26,0,2844
2023/5/21,4:32:19,2-mid,718543,1189.26,9,132.14,1,2845
2023/5/21,4:32:31,1-upper,721601,1288.57,9,143.17,2,2846
2023/5/21,4:32:42,2-upper,655560,1170.64,9,130.07,3,2847
2023/5/21,4:32:53,3-lower,789313,1339.46,10,133.95,4,2848
2023/5/21,4:33:04,3-mid,851898,1427.59,12,118.97,5,2849
2023/5/21,4:33:15,3-upper,692530,1338.27,9,148.7,7,2850
2023/5/21,4:33:27,1-mid,777696,1389.21,9,154.36,8,2851
2023/5/21,5:03:50,2-lower,802461,1344.96,12,112.08,0,2853
2023/5/21,5:04:01,2-mid,728059,1205.01,9,133.89,1,2854
2023/5/21,5:04:13,1-upper,725835,1296.13,9,144.01,2,2855
2023/5/21,5:04:24,2-upper,659982,1178.54,9,130.95,3,2856
2023/5/21,5:04:36,3-lower,796683,1351.97,10,135.2,4,2857
2023/5/21,5:04:47,3-mid,857270,1436.6,12,119.72,5,2858
2023/5/21,5:04:58,3-upper,700340,1353.36,9,150.37,7,2859
2023/5/21,5:05:10,1-mid,783174,1398.99,9,155.44,8,2860
